SicSectionId,Description
X,Public sector
A,Accommodation and food service activities
B,Activities of extraterritorial organisations and bodies
C,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
D,Administrative and support service activities
E,Agriculture, Forestry and Fishing
F,Arts, entertainment and recreation
G,Construction
H,Education
I,Electricity, gas, steam and air conditioning supply
J,Financial and insurance activities
K,Human health and social work activities
L,Information and communication
M,Manufacturing
N,Mining and Quarrying
O,Other service activities
P,Professional, scientific and technical activities
Q,Public administration and defence; compulsory social security
R,Real estate activities
S,Transportation and storage
T,Water supply, sewerage, waste management and remediation activities
U,Wholesale and retail trade; repair of motor vehicles and motorcycles
