AccountingDate,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson,SubmittedDate,EmployerName,CompanyNumber,Address1,Address2,Address3,Country,PostCode,PoBox,SicCodes
04/04/2016 00:00:00,9.00,14.00,70.00,39.00,15.00,56.00,79.00,63.00,91.00,70.00,94.00,62.00,97.00,100.00,https://AA&AAUTOSLTD.co.uk/GPGData,Firstname67 Lastname67 (Jobtitle 67),14/02/2017 00:00:00,A A & A AUTOS LTD,07045770,Savillebridge Mills,Mill Street East,Dewsbury,,WF12 9BQ,,45200
04/04/2016 00:00:00,64.00,41.00,59.00,84.00,95.00,43.00,85.00,12.00,76.00,3.00,29.00,34.00,88.00,3.00,https://AA&ASTEPHEN(BURPHAM)LTD..co.uk/GPGData,Firstname68 Lastname68 (Jobtitle 68),04/08/2016 00:00:00,A A & A STEPHEN (BURPHAM) LTD.,02456235,Cullerne Close,Ewell,Epsom,,KT17 1XY,,
04/04/2016 00:00:00,38.00,36.00,50.00,78.00,28.00,5.00,77.00,55.00,42.00,63.00,50.00,2.00,47.00,97.00,https://AA&CMANAGEMENTLIMITED.co.uk/GPGData,Firstname69 Lastname69 (Jobtitle 69),01/11/2016 00:00:00,A A & C MANAGEMENT LIMITED,03135170,Royal Crescent,,Bath,,BA1 2LR,,70100
04/04/2016 00:00:00,58.00,52.00,68.00,74.00,29.00,89.00,43.00,54.00,76.00,3.00,69.00,83.00,92.00,3.00,https://AA&DFRASERLIMITED.co.uk/GPGData,Firstname70 Lastname70 (Jobtitle 70),28/03/2017 00:00:00,A A & D FRASER LIMITED,SC474087,Rearquhar,,Dornoch,,IV25 3NE,,"1500,42990"
04/04/2016 00:00:00,80.00,76.00,26.00,70.00,49.00,4.00,37.00,95.00,65.00,4.00,11.00,15.00,100.00,8.00,https://AA&EVALIMITED.co.uk/GPGData,Firstname71 Lastname71 (Jobtitle 71),18/05/2016 00:00:00,A A & EVA LIMITED,07723236,Floor 112-116 Whitechapel Road,,London,England,E1 1JE,,46310
04/04/2016 00:00:00,39.00,59.00,27.00,5.00,73.00,61.00,69.00,50.00,1.00,62.00,20.00,28.00,99.00,18.00,https://AAACCONSULTINGLIMITED.co.uk/GPGData,Firstname64 Lastname64 (Jobtitle 64),11/05/2016 00:00:00,A A A C CONSULTING LIMITED,09336860,St. Aubyns,,Hove,England,BN3 2TE,,64999
04/04/2016 00:00:00,51.00,8.00,95.00,86.00,94.00,40.00,31.00,98.00,55.00,54.00,12.00,84.00,26.00,5.00,https://AAALETTING&MAINTENANCELTD.co.uk/GPGData,Firstname65 Lastname65 (Jobtitle 65),30/03/2017 00:00:00,A A A LETTING & MAINTENANCE LTD,08312819,West Avenue,,Exeter,,EX4 4SD,,68201
04/04/2016 00:00:00,0.00,38.00,82.00,31.00,43.00,75.00,13.00,82.00,1.00,92.00,21.00,93.00,9.00,88.00,https://AAABBEYROOFING&BUILDINGCONTRACTORSLTD.co.uk/GPGData,Firstname63 Lastname63 (Jobtitle 63),14/11/2016 00:00:00,A A ABBEY ROOFING & BUILDING CONTRACTORS LTD,07676340,Caer Street,,Swansea,,SA1 3PP,,43991
04/04/2016 00:00:00,1.00,15.00,48.00,51.00,66.00,21.00,13.00,78.00,55.00,60.00,11.00,78.00,69.00,20.00,https://AAAMUSEMENTSLIMITED.co.uk/GPGData,Firstname66 Lastname66 (Jobtitle 66),23/03/2017 00:00:00,A A AMUSEMENTS LIMITED,08950239,Holbeach Drove,,Spalding,,PE12 0PX,,"47910,63120"
04/04/2016 00:00:00,51.00,75.00,1.00,51.00,6.00,26.00,50.00,32.00,48.00,100.00,84.00,98.00,17.00,51.00,https://ALIMITED.co.uk/GPGData,Firstname62 Lastname62 (Jobtitle 62),02/04/2017 00:00:00,A LIMITED,05438136,Windsor Avenue,,London,,SW19 2RR,,
